"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Shin-Soo Choo","","91","392","334","78","15","1","12","51","38","45","106","7","8","2",".234",".335",".391",".726",".314","-0.2","-0.2","0.1","999.0","3174"
"Khalil Lee","Royals","18","77","68","16","3","0","2","9","8","7","20","1","3","1",".240",".321",".380",".702",".304","0.0","0.1","0.1","999.0","sa917996"
"Derek Dietrich","","60","259","225","52","10","1","10","31","32","20","69","10","2","1",".231",".321",".418",".738",".315","0.0","-0.2","0.1","999.0","10542"
"Brian Goodwin","","62","266","235","54","12","1","9","30","30","24","80","3","5","2",".230",".308",".404",".712",".302","-2.2","0.2","0.0","999.0","12858"
"Josh Palacios","Blue Jays","36","154","138","33","7","1","3","17","15","13","37","2","3","2",".242",".310",".359",".669",".290","0.0","0.1","0.0","999.0","sa829562"
"Leury Garcia","White Sox","49","210","195","50","9","1","4","24","19","9","48","2","4","2",".257",".296",".371",".667",".285","-0.2","0.5","0.0","999.0","5913"
"Brett Phillips","Rays","6","28","24","5","1","0","1","3","3","3","10","0","1","0",".198",".293",".352",".645",".279","0.1","0.1","0.0","999.0","14735"
"Cesar Puello","","6","28","25","6","1","0","1","3","3","2","8","1","0","0",".248",".329",".383",".712",".308","0.1","0.0","0.0","999.0","7216"
"Jaylin Davis","Giants","18","77","69","17","3","0","3","9","9","6","22","1","1","0",".242",".307",".420",".727",".308","-0.1","0.0","0.0","999.0","19552"
"Scott Kingery","Phillies","139","602","547","124","28","2","18","64","65","41","166","6","12","4",".227",".286",".381",".667",".284","-0.8","1.9","0.0","999.0","17975"
"Chris Shaw","Orioles","10","42","38","9","2","0","2","5","5","3","13","1","0","0",".240",".297",".443",".740",".310","-0.1","0.0","0.0","999.0","17738"
"Luis Gonzalez","White Sox","8","35","31","7","1","0","1","4","4","3","7","0","1","0",".237",".304",".379",".683",".293","0.2","0.0","0.0","999.0","20332"
"Ka'ai Tom","Athletics","36","154","137","31","6","1","4","17","16","13","40","2","2","1",".227",".299",".375",".674",".289","0.0","0.0","0.0","999.0","sa875069"
"Aristides Aquino","Reds","53","231","209","49","9","1","13","29","34","16","66","3","3","1",".233",".295",".462",".757",".315","-0.6","0.1","0.0","999.0","15482"
"Ryan McKenna","Orioles","3","14","12","3","1","0","0","1","1","1","3","0","0","0",".240",".311",".367",".677",".293","0.0","0.0","0.0","999.0","sa875055"
"Marcus Wilson","Red Sox","11","49","44","10","2","0","1","5","5","4","15","0","1","0",".227",".295",".370",".666",".287","0.0","0.0","0.0","999.0","sa828703"
"Forrest Wall","Blue Jays","5","21","19","4","1","0","0","2","2","2","5","0","1","0",".234",".301",".357",".658",".284","0.0","0.0","0.0","999.0","sa828682"
"Ryan McBroom","Royals","26","112","101","25","5","0","4","12","13","8","32","1","1","0",".245",".307",".405",".712",".302","-0.1","-0.1","0.0","999.0","16524"
"Troy Stokes Jr.","Tigers","3","14","12","3","1","0","0","2","2","1","4","0","0","0",".228",".309",".390",".699",".300","0.0","0.0","0.0","999.0","sa828871"
"Yairo Munoz","","18","77","70","18","4","0","2","9","9","5","18","1","2","1",".259",".311",".410",".721",".305","-0.2","0.0","0.0","999.0","16313"
"Dustin Fowler","Athletics","13","56","52","12","2","0","2","6","6","3","15","1","1","0",".235",".281",".392",".672",".284","0.2","0.0","0.0","999.0","17098"
